kdbRecvTime,x
2023-03-02D20:46:35.750000000,5523
2023-03-02D20:46:36.000000000,3955
2023-03-02D20:46:36.250000000,17845
2023-03-02D20:46:36.500000000,50243
2023-03-02D20:46:36.750000000,14621
2023-03-02D20:46:37.000000000,14179
2023-03-02D20:46:37.250000000,12572
2023-03-02D20:46:37.500000000,5059
2023-03-02D20:46:37.750000000,10786
2023-03-02D20:46:38.000000000,35196
2023-03-02D20:46:38.250000000,36501
2023-03-02D20:46:38.500000000,15172
2023-03-02D20:46:38.750000000,16114
2023-03-02D20:46:39.000000000,8238
2023-03-02D20:46:39.250000000,10084
2023-03-02D20:46:39.500000000,14136
2023-03-02D20:46:39.750000000,10497
2023-03-02D20:46:40.000000000,7002
2023-03-02D20:46:40.250000000,17414
2023-03-02D20:46:40.500000000,6600
2023-03-02D20:46:40.750000000,5791
2023-03-02D20:46:41.000000000,14473
2023-03-02D20:46:41.250000000,9209
2023-03-02D20:46:41.500000000,4864
2023-03-02D20:46:41.750000000,7027
2023-03-02D20:46:42.000000000,4121
2023-03-02D20:46:42.250000000,5529
2023-03-02D20:46:42.500000000,19400
2023-03-02D20:46:42.750000000,6838
2023-03-02D20:46:43.000000000,5038
2023-03-02D20:46:43.250000000,7918
2023-03-02D20:46:43.500000000,5920
2023-03-02D20:46:43.750000000,11239
2023-03-02D20:46:44.000000000,6064
2023-03-02D20:46:44.250000000,6592
2023-03-02D20:46:44.500000000,5537
2023-03-02D20:46:44.750000000,4611
2023-03-02D20:46:45.000000000,6140
2023-03-02D20:46:45.250000000,4464
2023-03-02D20:46:45.500000000,7143
2023-03-02D20:46:45.750000000,6090
2023-03-02D20:46:46.000000000,6433
2023-03-02D20:46:46.250000000,12993
2023-03-02D20:46:46.500000000,14409
2023-03-02D20:46:46.750000000,9450
2023-03-02D20:46:47.000000000,4482
2023-03-02D20:46:47.250000000,6885
2023-03-02D20:46:47.500000000,6043
2023-03-02D20:46:47.750000000,6498
2023-03-02D20:46:48.000000000,9383
2023-03-02D20:46:48.250000000,4729
2023-03-02D20:46:48.500000000,6204
2023-03-02D20:46:48.750000000,22148
2023-03-02D20:46:49.000000000,9948
2023-03-02D20:46:49.250000000,4301
2023-03-02D20:46:49.500000000,14202
2023-03-02D20:46:49.750000000,5390
2023-03-02D20:46:50.000000000,5514
2023-03-02D20:46:50.250000000,11256
2023-03-02D20:46:50.500000000,8713
2023-03-02D20:46:50.750000000,5511
2023-03-02D20:46:51.000000000,8557
2023-03-02D20:46:51.250000000,5464
2023-03-02D20:46:51.500000000,3018
2023-03-02D20:46:51.750000000,10613
2023-03-02D20:46:52.000000000,7420
2023-03-02D20:46:52.250000000,8687
2023-03-02D20:46:52.500000000,6849
2023-03-02D20:46:52.750000000,17905
2023-03-02D20:46:53.000000000,11874
2023-03-02D20:46:53.250000000,7131
2023-03-02D20:46:53.500000000,6740
2023-03-02D20:46:53.750000000,9146
2023-03-02D20:46:54.000000000,23327
2023-03-02D20:46:54.250000000,14814
2023-03-02D20:46:54.500000000,17044
2023-03-02D20:46:54.750000000,13971
2023-03-02D20:46:55.000000000,11237
2023-03-02D20:46:55.250000000,8186
2023-03-02D20:46:55.500000000,10492
2023-03-02D20:46:55.750000000,13610
2023-03-02D20:46:56.000000000,6727
2023-03-02D20:46:56.250000000,7116
2023-03-02D20:46:56.500000000,9551
2023-03-02D20:46:56.750000000,4972
2023-03-02D20:46:57.000000000,5936
2023-03-02D20:46:57.250000000,8541
2023-03-02D20:46:57.500000000,4504
2023-03-02D20:46:57.750000000,4463
2023-03-02D20:46:58.000000000,7744
2023-03-02D20:46:58.250000000,5459
2023-03-02D20:46:58.500000000,26471
2023-03-02D20:46:58.750000000,32468
2023-03-02D20:46:59.000000000,27851
2023-03-02D20:46:59.250000000,7306
2023-03-02D20:46:59.500000000,7528
2023-03-02D20:46:59.750000000,10916
2023-03-02D20:47:00.000000000,8801
2023-03-02D20:47:00.250000000,14258
2023-03-02D20:47:00.500000000,11664
2023-03-02D20:47:00.750000000,8864
2023-03-02D20:47:01.000000000,10971
2023-03-02D20:47:01.250000000,13627
2023-03-02D20:47:01.500000000,8860
2023-03-02D20:47:01.750000000,5135
2023-03-02D20:47:02.000000000,10714
2023-03-02D20:47:02.250000000,10030
2023-03-02D20:47:02.500000000,5624
2023-03-02D20:47:02.750000000,7371
2023-03-02D20:47:03.000000000,7076
2023-03-02D20:47:03.250000000,7345
2023-03-02D20:47:03.500000000,14237
2023-03-02D20:47:03.750000000,5118
2023-03-02D20:47:04.000000000,4774
2023-03-02D20:47:04.250000000,10490
2023-03-02D20:47:04.500000000,14173
2023-03-02D20:47:04.750000000,5631
2023-03-02D20:47:05.000000000,9690
2023-03-02D20:47:05.250000000,5720
2023-03-02D20:47:05.500000000,7048
2023-03-02D20:47:05.750000000,15368
2023-03-02D20:47:06.000000000,6576
2023-03-02D20:47:06.250000000,7082
2023-03-02D20:47:06.500000000,25733
2023-03-02D20:47:06.750000000,12528
2023-03-02D20:47:07.000000000,9645
2023-03-02D20:47:07.250000000,9142
2023-03-02D20:47:07.500000000,8552
2023-03-02D20:47:07.750000000,9657
2023-03-02D20:47:08.000000000,5847
2023-03-02D20:47:08.250000000,7289
2023-03-02D20:47:08.500000000,12285
2023-03-02D20:47:08.750000000,15974
2023-03-02D20:47:09.000000000,7889
2023-03-02D20:47:09.250000000,4843
2023-03-02D20:47:09.500000000,5327
2023-03-02D20:47:09.750000000,7531
2023-03-02D20:47:10.000000000,7168
2023-03-02D20:47:10.250000000,9766
2023-03-02D20:47:10.500000000,12385
2023-03-02D20:47:10.750000000,6773
2023-03-02D20:47:11.000000000,5705
2023-03-02D20:47:11.250000000,7019
2023-03-02D20:47:11.500000000,8903
2023-03-02D20:47:11.750000000,7415
2023-03-02D20:47:12.000000000,11818
